api_name,source_family,data_type,status,key_fields,date_field,symbol_field,pit_quality,lookahead_risk_fields,research_value,recommended_role,recommended_phase,notes
stock_zh_a_hist,market_price_volume,stock_daily_ohlcv,success,"日期, 股票代码, 开盘, 收盘, 最高, 最低, 成交量, 成交额, 换手率",日期,股票代码,high,,very_high,core_price_volume_source,Phase 17A,"Core source for technical, volatility, and liquidity factors."
stock_zh_index_hist_csindex,market_index_regime,csi_index_history,success,"日期, 指数代码, 开盘, 最高, 最低, 收盘, 成交量, 成交金额, 滚动市盈率",日期,指数代码,medium_high,,very_high,market_regime_and_benchmark_source,Phase 17B,"Use for CSI300/CSI500 regime, beta, residual volatility, and benchmark-relative diagnostics."
stock_financial_analysis_indicator,fundamental,financial_metrics,prototype,"日期, ROE, ROA, 毛利率, 净利润增长率, 流动比率, 资产负债率",日期,input_symbol,medium_low_without_disclosure_alignment,,high,fundamental_metric_prototype_source,Phase 17C prototype / Phase 17D after PIT alignment,Must align with disclosure calendar before formal backtest.
stock_yjyg_em,fundamental_event,earnings_guidance,success,"股票代码, 股票简称, 预测指标, 业绩变动, 预测数值, 预告类型, 公告日期",公告日期,股票代码,medium_high,,very_high,earnings_guidance_event_source,Phase 17B,"Useful for earnings guidance, profit warning, and event-state factors."
stock_yysj_em,fundamental_disclosure,financial_report_disclosure_calendar,success,"股票代码, 股票简称, 首次预约时间, 变更日期, 实际披露时间",实际披露时间,股票代码,very_high,,very_high,financial_availability_calendar,Phase 17D,Critical for avoiding look-ahead in financial factors.
stock_margin_detail_sse / stock_margin_detail_szse,margin_leverage,stock_margin_trading_detail,success,"证券代码, 融资余额, 融资买入额, 融资偿还额, 融券余量, 融券卖出量",信用交易日期 / input_date,证券代码,high,,very_high,leverage_sentiment_source,Phase 17B,SZSE detail needs manual trade_date from input date.
stock_margin_sse / stock_margin_szse,margin_leverage,market_margin_summary,success,"融资余额, 融资买入额, 融券余量, 融券卖出量, 融资融券余额",信用交易日期 / input_date,,high,,high,market_leverage_sentiment_source,Phase 17B,Market-level leverage sentiment source.
stock_margin_underlying_info_szse,margin_leverage,margin_underlying_eligibility,success,"证券代码, 证券简称, 融资标的, 融券标的, 当日可融资, 当日可融券",input_date,证券代码,medium_high,,high,margin_eligibility_source,Phase 17B,Use as margin eligibility / financing availability indicator.
stock_industry_clf_hist_sw,industry,sw_industry_classification_history,success,"symbol, start_date, industry_code, update_time",start_date,symbol,medium_high,,very_high,sw_industry_membership_asof_source,Phase 17B,Core source for industry-neutral and industry-relative factors.
index_component_sw,industry,sw_industry_components,success,"证券代码, 证券名称, 最新权重, 计入日期",计入日期,证券代码,medium,最新权重,high,industry_component_and_weight_source,Phase 17B,Use latest weight carefully; not historical weight.
index_hist_sw,industry,sw_industry_index_history,success,"代码, 日期, 开盘, 收盘, 最高, 最低, 成交量, 成交额",日期,代码,medium_high,,very_high,industry_state_factor_source,Phase 17B,"Use for industry momentum, volatility, drawdown, and relative strength."
stock_industry_change_cninfo,industry,cninfo_industry_change,success,"证券代码, 行业编码, 分类标准, 分类标准编码, 变更日期",变更日期,证券代码,medium_high,,high,multi_taxonomy_industry_membership_source,Phase 17B,Useful cross-source industry classification and change record.
sw_index_first_info / sw_index_second_info / sw_index_third_info,industry_valuation,sw_industry_valuation_snapshot,success,"行业代码, 行业名称, 成份个数, 静态市盈率, TTM市盈率, 市净率, 静态股息率",snapshot_date,行业代码,low_snapshot,,high,industry_valuation_snapshot_source,Phase 17B exploratory,Snapshot only; add snapshot timestamp when collecting.
stock_board_industry_index_ths,ths_industry_theme,ths_industry_index_history,success,"日期, 开盘价, 最高价, 最低价, 收盘价, 成交量, 成交额",日期,input_symbol,medium,,medium_high,secondary_industry_theme_state_source,Phase 17B exploratory,Useful as secondary/vendor theme-style industry source.
stock_board_concept_index_ths,ths_concept_theme,ths_concept_index_history,success,"日期, 开盘价, 最高价, 最低价, 收盘价, 成交量, 成交额",日期,input_symbol,medium,,medium_high,concept_theme_state_source,Phase 18,Useful for concept momentum and theme heat; membership still needs separate validation.
stock_board_concept_summary_ths,theme_event,concept_event_summary,success,"日期, 概念名称, 驱动事件, 龙头股, 成分股数量",日期,,medium,,high,theme_event_source,Phase 18,Good candidate for future EISS/theme event layer.
stock_board_industry_summary_ths,ths_industry_theme,industry_board_summary_snapshot,success,"板块, 涨跌幅, 总成交量, 总成交额, 净流入, 上涨家数, 下跌家数, 领涨股",snapshot_date,板块,low_snapshot,,medium,current_board_heat_snapshot_source,exploratory,Snapshot source; add collection timestamp manually.
stock_zh_a_gdhs,ownership_structure,shareholder_count,success,"股票代码, 股票简称, 股东户数, 户均持股, 公告日期, 报告期",公告日期 / 报告期,股票代码,medium_high,,very_high,shareholder_count_source,Phase 17B / 18,Useful for shareholder count change and retail crowding proxy.
stock_gdfx_free_holding_analyse_em / stock_gdfx_holding_analyse_em,ownership_structure,shareholder_holding_analysis,success,"股票代码, 股票简称, 股东名称, 持股数量, 持股比例, 变动比例",report_date / announcement_date,股票代码,medium,,high,holder_concentration_source,Phase 17B / 18,Use for ownership concentration and holder structure analysis.
stock_gpzy_pledge_ratio_detail_em,ownership_governance_risk,equity_pledge_detail,success,"股票代码, 质押比例, 质押股数, 质押市值, 质押起始日, 质押到期日",质押起始日 / 质押到期日,股票代码,medium,,very_high,equity_pledge_risk_source,Phase 17B / 18,Important A-share governance/risk source.
stock_fhps_em,corporate_action,dividend_and_distribution,success,"代码, 名称, 现金分红比例, 股息率, 预案公告日, 股权登记日, 除权除息日, 最新公告日期",预案公告日 / 股权登记日 / 除权除息日 / 最新公告日期,代码,medium_high,,high,dividend_corporate_action_source,Phase 17B / 18,Multiple event dates; use proper availability convention.
stock_restricted_release_detail_em,corporate_action,restricted_share_unlock_detail,success,"股票代码, 股票简称, 解禁时间, 解禁数量, 实际解禁市值, 占解禁前流通市值比例",解禁时间,股票代码,medium_high,解禁后20日涨跌幅,very_high,unlock_pressure_source,Phase 17B / 18,Post-event return fields must not be used as signal input.
stock_dzjy_mrtj,block_trade,block_trade_daily_stock_summary,success,"交易日期, 证券代码, 成交价, 折溢率, 成交总额, 成交总额/流通市值",交易日期,证券代码,medium_high,,high,block_trade_event_source,Phase 17B / 18,Use for block trade discount and large transfer pressure.
stock_lhb_detail_em,trading_attention,lhb_detail,success,"代码, 名称, 上榜日, 龙虎榜净买额, 买入额, 卖出额, 上榜原因",上榜日,代码,medium_high,"上榜后1日, 上榜后2日, 上榜后5日, 上榜后10日",very_high,abnormal_trading_attention_source,Phase 17B / 18,Post-event return columns must be blacklisted.
stock_lhb_jgmmtj_em,trading_attention,lhb_institution_trading,success,"代码, 名称, 上榜日, 机构买入额, 机构卖出额, 机构净买额",上榜日,代码,medium_high,,very_high,institution_lhb_trading_source,Phase 17B / 18,Useful for institutional abnormal trading attention.
stock_jgdy_tj_em,institution_attention,institutional_research_statistics,success,"代码, 名称, 接待机构数量, 接待方式, 接待日期, 公告日期",接待日期 / 公告日期,代码,medium_high,,high,institutional_research_attention_source,Phase 17B / 18,Use announcement date when available for PIT.
